                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.50292,                0.29129,                0.81627,                0.99742,                      1,                  0.995,                0.95601,                0.33751,                0.20015,                0.77876,             0.00087886,             0.00087886,             0.00087886
                    138,                0.46125,                0.27742,                0.82406,                0.99766,                      1,                  0.995,                0.95404,                0.34061,                 0.1982,                0.77747,              0.0008696,              0.0008696,              0.0008696
                    139,                0.43266,                0.26913,                0.82472,                0.99766,                      1,                  0.995,                0.94034,                0.36386,                0.21045,                 0.7802,             0.00086035,             0.00086035,             0.00086035
                    140,                0.44973,                0.26195,                0.82476,                0.99781,                      1,                  0.995,                0.94353,                0.35189,                0.20664,                0.77881,             0.00085109,             0.00085109,             0.00085109
                    141,                0.44768,                0.27522,                0.83137,                0.99767,                      1,                  0.995,                0.94599,                 0.3357,                 0.1952,                0.77576,             0.00084184,             0.00084184,             0.00084184
                    142,                0.45652,                 0.3053,                0.83232,                0.99781,                      1,                  0.995,                0.95523,                 0.3284,                0.19639,                0.77552,             0.00083258,             0.00083258,             0.00083258
                    143,                0.51896,                0.27683,                0.82677,                0.99793,                      1,                  0.995,                0.95942,                 0.3119,                0.19483,                0.77482,             0.00082332,             0.00082332,             0.00082332
                    144,                0.45172,                0.28238,                0.81834,                0.99768,                      1,                  0.995,                 0.9572,                0.32894,                0.19471,                0.77616,             0.00081407,             0.00081407,             0.00081407
                    145,                0.44168,                0.25254,                0.82226,                0.99751,                      1,                  0.995,                0.95058,                0.33364,                 0.2008,                0.77556,             0.00080481,             0.00080481,             0.00080481
                    146,                0.45147,                0.26626,                0.82603,                0.99742,                      1,                  0.995,                0.96043,                0.33172,                0.20134,                0.77511,             0.00079557,             0.00079557,             0.00079557
                    147,                0.43809,                0.25983,                0.85486,                0.99756,                      1,                  0.995,                0.94543,                0.35844,                0.20791,                0.77798,             0.00078633,             0.00078633,             0.00078633
                    148,                0.41798,                0.23955,                0.79592,                 0.9976,                      1,                  0.995,                  0.944,                0.33444,                0.19436,                0.77377,             0.00077709,             0.00077709,             0.00077709
                    149,                0.41815,                0.25792,                 0.8069,                0.99771,                      1,                  0.995,                0.95064,                0.33715,                0.19669,                0.77566,             0.00076787,             0.00076787,             0.00076787
                    150,                0.41439,                0.25575,                0.81128,                0.99777,                      1,                  0.995,                0.94647,                0.34289,                0.19403,                0.77586,             0.00075865,             0.00075865,             0.00075865
                    151,                 0.5174,                0.30189,                0.86041,                0.99781,                      1,                  0.995,                0.94829,                0.34056,                 0.1999,                0.77661,             0.00074945,             0.00074945,             0.00074945
                    152,                 0.4379,                0.26165,                0.81151,                0.99769,                      1,                  0.995,                 0.9589,                0.32367,                0.19371,                0.77479,             0.00074025,             0.00074025,             0.00074025
                    153,                0.49971,                0.28689,                0.84154,                0.99774,                      1,                  0.995,                0.96249,                0.33136,                0.19553,                 0.7742,             0.00073107,             0.00073107,             0.00073107
                    154,                0.43981,                0.23667,                0.81517,                0.99781,                      1,                  0.995,                0.95603,                0.33023,                0.19162,                0.77457,              0.0007219,              0.0007219,              0.0007219
                    155,                0.44039,                0.24526,                0.83756,                0.99772,                      1,                  0.995,                 0.9562,                0.32157,                0.19019,                0.77188,             0.00071275,             0.00071275,             0.00071275
                    156,                0.39956,                0.24044,                0.85785,                0.99766,                      1,                  0.995,                0.94412,                0.32201,                0.19391,                0.77163,             0.00070361,             0.00070361,             0.00070361
                    157,                0.44371,                0.27558,                0.82402,                0.99766,                      1,                  0.995,                0.95429,                0.31407,                0.18985,                 0.7689,              0.0006945,              0.0006945,              0.0006945
                    158,                0.41657,                0.23962,                0.83065,                0.99755,                      1,                  0.995,                0.96175,                0.31584,                0.20116,                0.76959,              0.0006854,              0.0006854,              0.0006854
                    159,                0.38895,                0.24162,                0.83277,                0.99747,                      1,                  0.995,                0.95158,                0.34423,                0.19825,                0.77583,             0.00067632,             0.00067632,             0.00067632
