epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,399.913,0.37664,0.20653,0.78816,0.99906,1,0.995,0.93978,0.31302,0.17096,0.81554,7.4616e-05,7.4616e-05,7.4616e-05
134,402.852,0.37733,0.21121,0.82312,0.99906,1,0.995,0.93746,0.31063,0.16832,0.81547,6.84227e-05,6.84227e-05,6.84227e-05
135,405.773,0.35119,0.19715,0.79253,0.99907,1,0.995,0.94369,0.30387,0.16759,0.81509,6.25687e-05,6.25687e-05,6.25687e-05
136,408.694,0.35807,0.19804,0.80531,0.99906,1,0.995,0.94333,0.30205,0.16652,0.81499,5.70564e-05,5.70564e-05,5.70564e-05
137,411.646,0.36256,0.20884,0.8082,0.99905,1,0.995,0.93913,0.30301,0.16442,0.81492,5.18885e-05,5.18885e-05,5.18885e-05
138,414.548,0.35579,0.20268,0.81347,0.99905,1,0.995,0.93397,0.30408,0.16358,0.81484,4.7067e-05,4.7067e-05,4.7067e-05
139,417.471,0.37557,0.20699,0.81686,0.99905,1,0.995,0.93661,0.30356,0.16715,0.81481,4.25941e-05,4.25941e-05,4.25941e-05
140,420.423,0.34818,0.19322,0.81606,0.99906,1,0.995,0.93495,0.30422,0.16647,0.81501,3.84718e-05,3.84718e-05,3.84718e-05
141,426.524,0.33569,0.18613,0.8157,0.99906,1,0.995,0.93624,0.30876,0.1658,0.81542,3.47018e-05,3.47018e-05,3.47018e-05
142,429.457,0.34359,0.19156,0.80735,0.99904,1,0.995,0.94058,0.30762,0.16621,0.81556,3.12859e-05,3.12859e-05,3.12859e-05
143,432.381,0.35192,0.20688,0.8006,0.99901,1,0.995,0.93999,0.31095,0.16881,0.81577,2.82256e-05,2.82256e-05,2.82256e-05
144,435.281,0.35314,0.18968,0.78103,0.99902,1,0.995,0.93637,0.31151,0.16815,0.81584,2.55221e-05,2.55221e-05,2.55221e-05
145,438.17,0.34447,0.18646,0.79642,0.99903,1,0.995,0.93535,0.31105,0.16999,0.81567,2.31767e-05,2.31767e-05,2.31767e-05
146,441.078,0.34319,0.18792,0.80981,0.99902,1,0.995,0.93636,0.31165,0.16929,0.81556,2.11903e-05,2.11903e-05,2.11903e-05
147,443.962,0.34516,0.18374,0.78112,0.99903,1,0.995,0.93534,0.3115,0.17111,0.81538,1.9564e-05,1.9564e-05,1.9564e-05
148,446.853,0.35977,0.19593,0.79601,0.99903,1,0.995,0.93579,0.31174,0.16999,0.81544,1.82983e-05,1.82983e-05,1.82983e-05
149,449.731,0.32066,0.18049,0.79545,0.99903,1,0.995,0.9354,0.31102,0.17077,0.81527,1.73938e-05,1.73938e-05,1.73938e-05
150,452.604,0.34764,0.19797,0.77037,0.99904,1,0.995,0.93505,0.31095,0.17049,0.81528,1.6851e-05,1.6851e-05,1.6851e-05
